shipment_batch_id,shipment_date,shipment_due_date,production_year,target_retail_year,customer,destination,label_code,season,gender,fabric,garment_type,color,garment_units,label_qty,fabric_yards,zipper_button_qty,label_weight_kg,fabric_weight_kg,zipper_button_weight_kg,total_weight_kg,box_count,weight_basis,scenario_tag
SHP-202301-01,2023-01-08,2023-01-08,2023,2024,Mode Basic Partners,부산항,W2WPL07BE,여름,여성,린넨,바지,베이지,32343,32343,51748.8,32343,32.343,15524.6,161.715,32.343,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202301-02,2023-01-18,2023-01-18,2023,2024,North Peak Apparel,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,32046,32046,38455.2,32046,32.046,11536.6,160.23,32.046,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202301-03,2023-01-27,2023-01-27,2023,2024,Urban Trail Korea,부산항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,30857,30857,37028.4,30857,30.857,11108.5,154.285,30.857,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202302-01,2023-02-07,2023-02-07,2023,2024,Daily Cotton Studio,부산항,W2WPM10GY,여름,여성,혼방,바지,그레이,36769,36769,58830.4,36769,36.769,17649.1,183.845,36.769,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202302-02,2023-02-15,2023-02-15,2023,2024,River Outdoor Co.,인천항,W3MJW01NV,가을,남성,울,재킷,네이비,30813,30813,64707.3,61626,30.813,19412.2,308.13,30.813,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202302-03,2023-02-23,2023-02-23,2023,2024,Mode Basic Partners,부산항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,34301,34301,82322.4,34301,34.301,24696.7,171.505,34.301,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202302-04,2023-02-28,2023-02-28,2023,2024,North Peak Apparel,인천항,W2MTC08RD,여름,남성,면,티셔츠,레드,33523,33523,40227.6,33523,33.523,12068.3,167.615,33.523,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202303-01,2023-03-08,2023-03-08,2023,2024,Urban Trail Korea,인천항,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,33296,33296,39955.2,33296,33.296,11986.6,166.48,33.296,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202303-02,2023-03-18,2023-03-18,2023,2024,Daily Cotton Studio,부산항,W2WTL06WH,여름,여성,린넨,티셔츠,화이트,30976,30976,37171.2,30976,30.976,11151.4,154.88,30.976,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202303-03,2023-03-27,2023-03-27,2023,2024,River Outdoor Co.,인천항,W2MPL09NV,여름,남성,린넨,바지,네이비,34356,34356,54969.6,34356,34.356,16490.9,171.78,34.356,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202304-01,2023-04-08,2023-04-08,2023,2024,Mode Basic Partners,인천항,W3MJW01NV,가을,남성,울,재킷,네이비,33338,33338,70009.8,66676,33.338,21002.9,333.38,33.338,4,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
SHP-202304-02,2023-04-18,2023-04-18,2023,2024,North Peak Apparel,부산항,W4WDP11BK,겨울,여성,폴리에스터,다운,블랙,40067,40067,96160.8,40067,40.067,28848.2,200.335,40.067,5,label_agent: 1000pcs=1kg; fabric_agent: 0.3kg/yard; zipper_agent: 5g/pcs,smooth
