id,channel,direction,source_agent,target_agent,event_type,related_code,title,summary,payload_json,status,created_at
1,fabric,inbound,옷감사,플랫폼,agent_report_import,면 원사,원자재 입고 보고,옷감사 면 원사 입고. 공급사 Qingdao Cotton Trading. 납기 2022-12-22 / 실제 2022-12-24 / 지연 2일,"{'company_id': 1, 'company_name': '옷감사', 'material': '면 원사', 'material_display_name': '면 원사', 'qty': 15330.6, 'unit': 'kg', 'weight_kg': 15330.6, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Qingdao Cotton Trading', 'supplier_company': 'Qingdao Cotton Trading', 'arrival_date': '2022-12-24', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 2, 'bl_number': 'BL-MAT-0001', 'port_of_loading': 'Shanghai', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0001'}",수신완료,2022-12-24T09:00:00
2,fabric,inbound,옷감사,플랫폼,agent_report_import,폴리에스터 원사,원자재 입고 보고,옷감사 폴리에스터 원사 입고. 공급사 Sino Poly Fiber. 납기 2022-12-22 / 실제 2022-12-22 / 지연 0일,"{'company_id': 1, 'company_name': '옷감사', 'material': '폴리에스터 원사', 'material_display_name': '폴리에스터 원사', 'qty': 35363.4, 'unit': 'kg', 'weight_kg': 35363.4, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Sino Poly Fiber', 'supplier_company': 'Sino Poly Fiber', 'arrival_date': '2022-12-22', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 0, 'bl_number': 'BL-MAT-0002', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0002'}",수신완료,2022-12-22T09:00:00
3,fabric,inbound,옷감사,플랫폼,agent_report_import,린넨 원사,원자재 입고 보고,옷감사 린넨 원사 입고. 공급사 Linen Mill Partners. 납기 2022-12-22 / 실제 2022-12-24 / 지연 2일,"{'company_id': 1, 'company_name': '옷감사', 'material': '린넨 원사', 'material_display_name': '린넨 원사', 'qty': 84140.2, 'unit': 'kg', 'weight_kg': 84140.2, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Linen Mill Partners', 'supplier_company': 'Linen Mill Partners', 'arrival_date': '2022-12-24', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 2, 'bl_number': 'BL-MAT-0003', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0003'}",수신완료,2022-12-24T09:00:00
4,fabric,inbound,옷감사,플랫폼,agent_report_import,울 원사,원자재 입고 보고,옷감사 울 원사 입고. 공급사 Ulaan Wool Trading. 납기 2022-12-22 / 실제 2022-12-25 / 지연 3일,"{'company_id': 1, 'company_name': '옷감사', 'material': '울 원사', 'material_display_name': '울 원사', 'qty': 37865.3, 'unit': 'kg', 'weight_kg': 37865.3, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Ulaan Wool Trading', 'supplier_company': 'Ulaan Wool Trading', 'arrival_date': '2022-12-25', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 3, 'bl_number': 'BL-MAT-0004', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0004'}",수신완료,2022-12-25T09:00:00
5,fabric,inbound,옷감사,플랫폼,agent_report_import,혼방 원사,원자재 입고 보고,옷감사 혼방 원사 입고. 공급사 Mixed Yarn Korea. 납기 2022-12-22 / 실제 2022-12-27 / 지연 5일,"{'company_id': 1, 'company_name': '옷감사', 'material': '혼방 원사', 'material_display_name': '혼방 원사', 'qty': 19684.3, 'unit': 'kg', 'weight_kg': 19684.3, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Mixed Yarn Korea', 'supplier_company': 'Mixed Yarn Korea', 'arrival_date': '2022-12-27', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 5, 'bl_number': 'BL-MAT-0005', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0005'}",수신완료,2022-12-27T09:00:00
6,fabric,inbound,옷감사,플랫폼,agent_report_import,염료,원자재 입고 보고,옷감사 염료 입고. 공급사 Korea Dye Works. 납기 2022-12-22 / 실제 2022-12-27 / 지연 5일,"{'company_id': 1, 'company_name': '옷감사', 'material': '염료', 'material_display_name': '염료', 'qty': 8795.1, 'unit': 'kg', 'weight_kg': 8795.1, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Korea Dye Works', 'supplier_company': 'Korea Dye Works', 'arrival_date': '2022-12-27', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 5, 'bl_number': 'BL-MAT-0006', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0006'}",수신완료,2022-12-27T09:00:00
7,label,inbound,케어라벨사,플랫폼,agent_report_import,라벨원단,원자재 입고 보고,케어라벨사 라벨원단 입고. 공급사 Apex Label Materials. 납기 2022-12-22 / 실제 2022-12-24 / 지연 2일,"{'company_id': 2, 'company_name': '케어라벨사', 'material': '라벨원단', 'material_display_name': '라벨원단', 'qty': 14633.0, 'unit': 'm', 'weight_kg': 365.825, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Apex Label Materials', 'supplier_company': 'Apex Label Materials', 'arrival_date': '2022-12-24', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 2, 'bl_number': 'BL-MAT-0007', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '케어라벨사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0007'}",수신완료,2022-12-24T09:00:00
8,label,inbound,케어라벨사,플랫폼,agent_report_import,잉크,원자재 입고 보고,케어라벨사 잉크 입고. 공급사 Korea Ink Supply. 납기 2022-12-22 / 실제 2022-12-22 / 지연 0일,"{'company_id': 2, 'company_name': '케어라벨사', 'material': '잉크', 'material_display_name': '잉크', 'qty': 45.0, 'unit': '통', 'weight_kg': 4.5, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Korea Ink Supply', 'supplier_company': 'Korea Ink Supply', 'arrival_date': '2022-12-22', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 0, 'bl_number': 'BL-MAT-0008', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '케어라벨사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0008'}",수신완료,2022-12-22T09:00:00
9,zipper,inbound,지퍼단추사,플랫폼,agent_report_import,플라스틱원료,원자재 입고 보고,지퍼단추사 플라스틱원료 입고. 공급사 Ningbo Resin Parts. 납기 2022-12-22 / 실제 2022-12-22 / 지연 0일,"{'company_id': 3, 'company_name': '지퍼단추사', 'material': '플라스틱원료', 'material_display_name': '플라스틱원료', 'qty': 911.1, 'unit': 'kg', 'weight_kg': 911.1, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Ningbo Resin Parts', 'supplier_company': 'Ningbo Resin Parts', 'arrival_date': '2022-12-22', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 0, 'bl_number': 'BL-MAT-0009', 'port_of_loading': 'Shanghai', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '지퍼단추사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0009'}",수신완료,2022-12-22T09:00:00
10,zipper,inbound,지퍼단추사,플랫폼,agent_report_import,금속원료,원자재 입고 보고,지퍼단추사 금속원료 입고. 공급사 Qingdao Metal Parts. 납기 2022-12-22 / 실제 2022-12-25 / 지연 3일,"{'company_id': 3, 'company_name': '지퍼단추사', 'material': '금속원료', 'material_display_name': '금속원료', 'qty': 979.5, 'unit': 'kg', 'weight_kg': 979.5, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Qingdao Metal Parts', 'supplier_company': 'Qingdao Metal Parts', 'arrival_date': '2022-12-25', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 3, 'bl_number': 'BL-MAT-0010', 'port_of_loading': 'Shanghai', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '지퍼단추사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0010'}",수신완료,2022-12-25T09:00:00
